id,created_at,vendor,actor,action,detail
"52","2026-07-26T05:18:05.571Z","Helios Data Vault 080858","Nadia Bloom","vendor.approved","CISO Nadia Bloom approved onboarding."
"51","2026-07-26T05:18:05.255Z","Tessera Mail 080858","Miguel Serrano","vendor.rejected","Rejected by Miguel Serrano: No SPF/DKIM enforcement and no SOC 2 report for a processor holding the full contact list."
"50","2026-07-26T05:18:05.040Z","Helios Data Vault 080858","Miguel Serrano","vendor.approved","Manager Miguel Serrano approved; routed to CISO for High risk."
"49","2026-07-26T05:18:04.930Z","Aurora Ledger 080858","Miguel Serrano","vendor.approved","Manager Miguel Serrano approved onboarding."
"48","2026-07-26T05:18:04.512Z","Tessera Mail 080858","Ada Okafor","vendor.submitted","Submitted for manager review."
"47","2026-07-26T05:18:04.470Z","Tessera Mail 080858","Ada Okafor","vendor.assessed","Scored 47 — Medium risk."
"46","2026-07-26T05:18:04.429Z","Tessera Mail 080858","Ada Okafor","vendor.created","Intake opened for Tessera Mail 080858."
"45","2026-07-26T05:18:04.328Z","Quill Notes 080858","Ada Okafor","vendor.submitted","Low risk auto-approved on submission."
"44","2026-07-26T05:18:04.288Z","Quill Notes 080858","Ada Okafor","vendor.assessed","Scored 26 — Low risk."
"43","2026-07-26T05:18:04.246Z","Quill Notes 080858","Ada Okafor","vendor.created","Intake opened for Quill Notes 080858."
"42","2026-07-26T05:18:04.146Z","Helios Data Vault 080858","Ada Okafor","vendor.submitted","Submitted for manager review."
"41","2026-07-26T05:18:04.104Z","Helios Data Vault 080858","Ada Okafor","vendor.assessed","Scored 76 — High risk."
"40","2026-07-26T05:18:04.055Z","Helios Data Vault 080858","Ada Okafor","vendor.created","Intake opened for Helios Data Vault 080858."
"39","2026-07-26T05:18:03.887Z","Aurora Ledger 080858","Ada Okafor","vendor.submitted","Submitted for manager review."
"38","2026-07-26T05:18:03.805Z","Aurora Ledger 080858","Ada Okafor","vendor.assessed","Scored 50 — Medium risk."
"37","2026-07-26T05:18:03.682Z","Aurora Ledger 080858","Ada Okafor","vendor.created","Intake opened for Aurora Ledger 080858."
"36","2026-07-26T05:12:36.980Z","Helios Data Vault 752335","Nadia Bloom","vendor.approved","CISO Nadia Bloom approved onboarding."
"35","2026-07-26T05:12:36.680Z","Tessera Mail 752335","Miguel Serrano","vendor.rejected","Rejected by Miguel Serrano: No SPF/DKIM enforcement and no SOC 2 report for a processor holding the full contact list."
"34","2026-07-26T05:12:36.480Z","Helios Data Vault 752335","Miguel Serrano","vendor.approved","Manager Miguel Serrano approved; routed to CISO for High risk."
"33","2026-07-26T05:12:36.364Z","Aurora Ledger 752335","Miguel Serrano","vendor.approved","Manager Miguel Serrano approved onboarding."
"32","2026-07-26T05:12:35.913Z","Tessera Mail 752335","Ada Okafor","vendor.submitted","Submitted for manager review."
"31","2026-07-26T05:12:35.871Z","Tessera Mail 752335","Ada Okafor","vendor.assessed","Scored 47 — Medium risk."
"30","2026-07-26T05:12:35.830Z","Tessera Mail 752335","Ada Okafor","vendor.created","Intake opened for Tessera Mail 752335."
"29","2026-07-26T05:12:35.730Z","Quill Notes 752335","Ada Okafor","vendor.submitted","Low risk auto-approved on submission."
"28","2026-07-26T05:12:35.681Z","Quill Notes 752335","Ada Okafor","vendor.assessed","Scored 26 — Low risk."
"27","2026-07-26T05:12:35.638Z","Quill Notes 752335","Ada Okafor","vendor.created","Intake opened for Quill Notes 752335."
"26","2026-07-26T05:12:35.539Z","Helios Data Vault 752335","Ada Okafor","vendor.submitted","Submitted for manager review."
"25","2026-07-26T05:12:35.497Z","Helios Data Vault 752335","Ada Okafor","vendor.assessed","Scored 76 — High risk."
"24","2026-07-26T05:12:35.447Z","Helios Data Vault 752335","Ada Okafor","vendor.created","Intake opened for Helios Data Vault 752335."
"23","2026-07-26T05:12:35.316Z","Aurora Ledger 752335","Ada Okafor","vendor.submitted","Submitted for manager review."
"22","2026-07-26T05:12:35.235Z","Aurora Ledger 752335","Ada Okafor","vendor.assessed","Scored 50 — Medium risk."
"21","2026-07-26T05:12:35.105Z","Aurora Ledger 752335","Ada Okafor","vendor.created","Intake opened for Aurora Ledger 752335."
"20","2026-07-01T09:00:00.000Z","Sparrow Survey Tools","Ada Okafor","vendor.created","Intake opened for Sparrow Survey Tools."
"19","2026-06-27T15:26:00.000Z","Paperless Forms","Ada Okafor","vendor.submitted","Low risk auto-approved on submission."
"18","2026-06-27T15:24:00.000Z","Paperless Forms","Ada Okafor","vendor.assessed","Scored 21 — Low risk."
"17","2026-06-27T15:20:00.000Z","Paperless Forms","Ada Okafor","vendor.created","Intake opened for Paperless Forms."
"12","2026-06-24T13:10:00.000Z","Cirrus Analytics","Ada Okafor","vendor.submitted","Submitted for manager review."
"11","2026-06-24T12:55:00.000Z","Cirrus Analytics","Ada Okafor","vendor.assessed","Scored 48 — Medium risk."
"10","2026-06-24T08:30:00.000Z","Cirrus Analytics","Ada Okafor","vendor.created","Intake opened for Cirrus Analytics."
"9","2026-06-20T14:22:00.000Z","Beacon Identity","Miguel Serrano","vendor.approved","Manager approved; awaiting CISO sign-off."
"8","2026-06-18T11:42:00.000Z","Beacon Identity","Ada Okafor","vendor.submitted","Submitted for manager review."
"7","2026-06-18T11:40:00.000Z","Beacon Identity","Ada Okafor","vendor.assessed","Scored 71 — High risk."
"6","2026-06-18T11:05:00.000Z","Beacon Identity","Ada Okafor","vendor.created","Intake opened for Beacon Identity."
"16","2026-06-14T09:45:00.000Z","Ironvault Backup","Miguel Serrano","vendor.rejected","Rejected: no current SOC 2 report for a full-snapshot processor."
